iter	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9
16	1.509283786	0.4747989121	0.4180687637	0.4533554955	0.4361531831	0.5983966899	0.5155993432	0.4509385186	0.515992673	0.4440749698	0.4605524187	0.4180771835
17	1.498761386	0.4788206701	0.4194961665	0.4576026408	0.4424713282	0.6030306955	0.517982018	0.4555705909	0.5181317906	0.4497882638	0.4643510055	0.4212692967
18	1.490820869	0.4820612233	0.4246699222	0.4575539568	0.4459729865	0.6057127951	0.5183628045	0.4607520164	0.5197978096	0.4532809193	0.4662689307	0.4305555556
19	1.48406018	0.48533071	0.4277456647	0.460558751	0.4481369587	0.6110384515	0.5197546012	0.464882178	0.5242718447	0.4587792012	0.4685784015	0.4316498316
20	1.47524566	0.4882529946	0.4302617426	0.4613491901	0.4501265823	0.6130508696	0.5241935484	0.4683151236	0.523607577	0.4631800421	0.4762049106	0.433665709
21	1.472088367	0.4900758058	0.4338850329	0.463304633	0.4527388535	0.6142987845	0.5258915486	0.4702201622	0.5242060692	0.4659433394	0.475916389	0.4364243943
22	1.467603054	0.4924772872	0.4329638899	0.4668693009	0.455876735	0.6155255924	0.5273147585	0.4727146333	0.5267756483	0.4700712229	0.4803149606	0.4380248572
23	1.459256968	0.4943868989	0.4373105047	0.4673803272	0.4565908224	0.6185296816	0.5268127345	0.4771880819	0.5247148289	0.4706771463	0.4819313696	0.4448579161
24	1.453755997	0.4973091835	0.4394235901	0.4682395644	0.4587922522	0.6204724409	0.528279036	0.4812082894	0.5267003935	0.478650661	0.486511064	0.4470667566
25	1.44709017	0.5028065505	0.4436183395	0.473334675	0.4675025589	0.6232435982	0.5360600194	0.4892693796	0.5318404479	0.4820154803	0.4919769906	0.449192463
26	1.446861049	0.5028065505	0.4438938053	0.4735465701	0.4674760383	0.6233766234	0.5363845502	0.4883830087	0.5320638477	0.482088646	0.4922005149	0.4487460024
27	1.440909551	0.5045714947	0.4451133144	0.4771775962	0.4705732159	0.6245908079	0.535204452	0.4891138049	0.5329241071	0.4827586207	0.4961901859	0.4532386268
28	1.434890762	0.5073491117	0.4471128377	0.4774810682	0.4726716779	0.6273943847	0.5367913148	0.4956799621	0.5399303136	0.4857489388	0.4973367828	0.4525547445
29	1.424547005	0.5135698166	0.4545454545	0.4857594937	0.4768127082	0.6311518325	0.5426337943	0.4998208099	0.5479988805	0.4905946602	0.5086844887	0.4585663447
30	1.419694647	0.516202766	0.4563805512	0.4903505317	0.4806062163	0.6335827754	0.5453449108	0.5010737294	0.5501889962	0.4947703502	0.509939759	0.4619823489
31	1.413183092	0.5189514496	0.4586479368	0.4924167816	0.4866803279	0.6342422653	0.547564366	0.5044079104	0.5516079202	0.4980273141	0.5117257968	0.4661909616
32	1.40746834	0.5211793299	0.4618073763	0.4967602592	0.4911692665	0.6360767815	0.5498372906	0.5044744064	0.5521300448	0.4989390724	0.5149287322	0.4688245315
33	1.405146376	0.5216133326	0.460456942	0.4971439827	0.4886773031	0.6382364519	0.551317531	0.5051324899	0.5527272727	0.5020463847	0.5141141141	0.4683026585
34	1.399491688	0.5238990799	0.4628851541	0.498825372	0.4934261408	0.6402519024	0.5523213856	0.508100324	0.5538461538	0.503649635	0.5159063625	0.4718872091
35	1.396443259	0.5257218911	0.4634743097	0.5033987182	0.4958506224	0.6443569554	0.5534576067	0.5090690691	0.5568946188	0.5061671996	0.5166416792	0.4702098849
36	1.393071964	0.5266477634	0.462749213	0.5060147458	0.494807892	0.6435124509	0.5562658304	0.5094271646	0.5582564962	0.5065528802	0.5203007519	0.471163575
37	1.388512801	0.5295989815	0.4696679993	0.5058229814	0.4977352142	0.6448904631	0.5576459238	0.5157537567	0.5601119664	0.5100243013	0.5206054248	0.4767854128
38	1.382459878	0.533476072	0.4738928141	0.5157935285	0.5000648761	0.6503083585	0.5584696824	0.5223898908	0.5618981158	0.5154639175	0.5245017234	0.4762872629
39	1.374760941	0.5381343672	0.4769469867	0.5212888377	0.5037017795	0.6542643784	0.5591655677	0.5291800049	0.5673344463	0.5217788608	0.5294205719	0.4827703276
40	1.370901656	0.5392049071	0.4772806105	0.5208572522	0.5059833507	0.6558407543	0.5597695631	0.5295059751	0.569123783	0.5221212121	0.5327550105	0.4824069352
41	1.362397262	0.5446444072	0.4879820163	0.5291769626	0.51044505	0.6593175853	0.5643123571	0.5326918332	0.5741827326	0.5262997408	0.5407980941	0.4882263256
42	1.360973557	0.5454545455	0.4889349931	0.530294397	0.5117967332	0.6603600053	0.5654790563	0.533250774	0.5739446464	0.5285021225	0.5400981997	0.4891451832
43	1.356018303	0.5485793646	0.4894354001	0.5337889142	0.517487973	0.6616778259	0.5693975904	0.5365126677	0.5771436565	0.5296346824	0.5420367081	0.4956081081
44	1.354780034	0.5493895029	0.4903381643	0.534522003	0.5190780049	0.6627218935	0.5707399373	0.5372578241	0.577244841	0.5300106367	0.5417593829	0.4973009447
45	1.35180016	0.551038713	0.4926837666	0.5362979856	0.5215579002	0.6635932561	0.57129106	0.5392781316	0.5777468707	0.5305007587	0.544566183	0.5006743088
46	1.346081384	0.5533244604	0.4926837666	0.5393939394	0.5234446032	0.6673686982	0.5742168675	0.5431325905	0.578457262	0.534409257	0.5465820168	0.5003380663
47	1.338624837	0.5585614258	0.5010316369	0.5460030166	0.5284098297	0.668333772	0.5757063511	0.5514991845	0.5824298026	0.539774459	0.5572947431	0.5035389282
48	1.33432567	0.5610207743	0.5046217049	0.5476818696	0.5298013245	0.6720168399	0.5787059392	0.554619736	0.5846964236	0.5399693721	0.5581188997	0.5083487941
49	1.326985018	0.5639719924	0.5081210463	0.5500657524	0.5312133455	0.6725361367	0.5784585695	0.5580811252	0.5913355408	0.5457055215	0.5609031491	0.5122569738
50	1.324815263	0.565592269	0.5103330487	0.5520989505	0.5343431705	0.6721031172	0.5801858332	0.5595880949	0.5932156646	0.5460971112	0.5620915033	0.5153456998
51	1.320273195	0.5674440137	0.5133378933	0.5530402245	0.5361768939	0.6750065841	0.5810109784	0.5588456713	0.5968758564	0.5466564181	0.5670303393	0.5160747349
52	1.312886837	0.5720444419	0.5153728554	0.5557410499	0.542849632	0.6783780214	0.582901242	0.5645425868	0.6006582556	0.5547714023	0.5739937154	0.5214909335
53	1.312278632	0.5726520456	0.517094744	0.5578029319	0.5427782889	0.6778275771	0.5824493732	0.565743073	0.6018963859	0.5557092362	0.5742041548	0.5216806723
54	1.304745738	0.5775707424	0.5241472476	0.5665680473	0.5481618132	0.6800894855	0.5854247104	0.5692874381	0.6060189639	0.5619605425	0.5804529201	0.5264745308
55	1.302165339	0.5786123488	0.5232793522	0.5660447072	0.5491900435	0.6808286054	0.5864897467	0.573251659	0.6057283815	0.5652173913	0.5819586863	0.526368659
56	1.295151214	0.5842833169	0.5327071453	0.5706381409	0.5591256255	0.6866896004	0.5911736178	0.5819346573	0.6074945295	0.568973454	0.587063197	0.5293429192
57	1.292924806	0.5855274579	0.5324151831	0.5721649485	0.5590094837	0.6868044515	0.5929964861	0.5857912285	0.6086006826	0.5704214559	0.5864997765	0.5329101236
58	1.288969213	0.5866847983	0.5358642701	0.5759412305	0.5592279217	0.6885895404	0.5945158942	0.584292658	0.6091718001	0.5721752498	0.5865755866	0.5335783495
59	1.28697712	0.5872924021	0.5373234701	0.5745775165	0.5584706658	0.6889446572	0.595656921	0.5845720144	0.6090297791	0.5741965247	0.5875907004	0.53591714
60	1.281838748	0.5906776228	0.5384227342	0.5824458318	0.5606738615	0.6909763509	0.5979105928	0.5916431684	0.6133333333	0.5767097967	0.5906873614	0.5378459486
61	1.273509096	0.5950176494	0.5471951629	0.5852762989	0.5676462801	0.6931139711	0.6014563107	0.5939956191	0.6168482007	0.5835114504	0.5940448113	0.5426869623
62	1.271312049	0.5960013888	0.5477386935	0.5881061299	0.5689335803	0.6935848054	0.6020197104	0.5954100052	0.6169743731	0.5832439884	0.5959952886	0.5443121693
63	1.265535301	0.5995891441	0.5539339037	0.590271452	0.5724083355	0.697130712	0.6044422867	0.5989401577	0.6191788371	0.5889007797	0.5984368087	0.5489347537
64	1.261049858	0.6029454314	0.5574924573	0.5945355191	0.5798519302	0.697415507	0.6055893074	0.6021199586	0.6226441051	0.5940412529	0.599321634	0.5535178393
65	1.254955639	0.6057809155	0.5619031664	0.5948103792	0.582439412	0.6989518376	0.6086532602	0.6037979589	0.6268450821	0.597950757	0.6057579318	0.5537080146
66	1.249354638	0.6091661362	0.5669792364	0.6002535773	0.5856689582	0.700822936	0.6104133642	0.6084150749	0.627980703	0.6022692426	0.6088490372	0.5582944704
67	1.243009669	0.6131589607	0.5736692808	0.604592298	0.5906804342	0.7046756361	0.6121404193	0.6157437427	0.6306653809	0.6055214724	0.6102142647	0.5630906981
68	1.237082115	0.6170649847	0.5757271815	0.6064539391	0.5964772878	0.7077619491	0.6156292039	0.6225630361	0.6362378976	0.607816092	0.6144191477	0.5658133774
69	1.233138237	0.6188877958	0.5782085561	0.611579136	0.5965841388	0.7094882729	0.6155349292	0.6243165842	0.639380531	0.6077229543	0.6173849525	0.5680649975
70	1.23061838	0.6203055379	0.5788596199	0.6106925009	0.596416722	0.7109395795	0.6182085169	0.6256035495	0.6414050615	0.6082426842	0.6205285443	0.5711928725
71	1.224981661	0.6229384874	0.5818664895	0.6178571429	0.5990672885	0.7125732552	0.6187103078	0.6293193717	0.6441522491	0.6144171779	0.6216255654	0.5700148441
72	1.223362572	0.6238354262	0.5826693227	0.6168424817	0.6008263361	0.7144	0.6197010537	0.6308496732	0.6441615938	0.6162808524	0.6208205577	0.5718975706
73	1.220834833	0.6243851629	0.5865336658	0.6186304309	0.599973287	0.7149321267	0.6190009794	0.6301369863	0.6452506231	0.6155736446	0.6204581935	0.5744750656
74	1.216904329	0.6253399688	0.5885477178	0.6197183099	0.6017912044	0.7148369927	0.6202749141	0.6298862596	0.6450809465	0.6162344637	0.622118471	0.5764879488
75	1.209860514	0.6294774608	0.5904856953	0.6216790648	0.6091139917	0.7167044394	0.6252766167	0.6349456023	0.6509121061	0.6200122775	0.624107273	0.5823779889
76	1.204084271	0.6333256177	0.5948275862	0.6280552604	0.6146210597	0.7195739015	0.624	0.6376544833	0.6538674033	0.6256504438	0.6298890835	0.5878510777
77	1.201374604	0.6348590938	0.5966887417	0.6286823073	0.6146591215	0.7212064594	0.6245986663	0.6387792686	0.6572653118	0.6270979554	0.6321002039	0.5908573288
78	1.199032437	0.6363057693	0.5960680654	0.6321353066	0.6180048662	0.7228304406	0.6264048413	0.6404953234	0.6573600553	0.6294369645	0.6326055313	0.5911298155
79	1.194387798	0.6394884555	0.5986147757	0.632671004	0.6238830219	0.7258172115	0.6289447732	0.6439644892	0.6602236642	0.6334813907	0.6375418669	0.5925088796
80	1.191610609	0.6407325965	0.5993742796	0.6358219418	0.6257104195	0.7259871932	0.6310451453	0.6441351889	0.6617829993	0.635485355	0.6379886644	0.5930232558
81	1.189510581	0.6425843412	0.6028298782	0.6374670185	0.6275890077	0.7274426054	0.6324617662	0.6457173164	0.6641770401	0.6365584813	0.6389534884	0.5961227787
82	1.182727056	0.646085296	0.6040334481	0.6429323045	0.6298148398	0.7290193462	0.6356435644	0.6520351157	0.6669431771	0.6400855484	0.642172524	0.6020110282
83	1.181664088	0.6465771657	0.6062694896	0.643295355	0.6305551803	0.7306460224	0.6354166667	0.6525615436	0.6676787193	0.6385191984	0.6411261065	0.6037552606
84	1.178462995	0.6481974423	0.6096800656	0.6457352172	0.6307087681	0.7313034188	0.6389026199	0.6530123687	0.6689655172	0.6394245485	0.6447769868	0.6034791091
85	1.173750951	0.6505699902	0.6107470511	0.6468025788	0.6346362649	0.734001336	0.6402770905	0.6569829424	0.6708895621	0.6434570163	0.6474861959	0.6038718074
86	1.171605272	0.651524796	0.6123521682	0.645869641	0.6361909929	0.7351958294	0.6430693069	0.6582177161	0.6719824031	0.6434570163	0.6487507263	0.6027263875
87	1.165985141	0.6560673572	0.618152085	0.6533518583	0.6411405295	0.7380824853	0.6457610312	0.663455105	0.6746391753	0.648334861	0.650872093	0.6113989637
88	1.164289233	0.6566170939	0.6191253264	0.6532523851	0.6420593844	0.7392120075	0.6463520377	0.6635476541	0.6745464541	0.6486155729	0.6515415939	0.6125485123
