iter	Passed	Remaining
0	463	2317683
1	827	2068083
2	1238	2062760
3	1717	2145347
4	2119	2117836
5	2481	2065248
6	2884	2057267
7	3373	2105248
8	3800	2107499
9	4235	2113329
10	4652	2110000
11	5101	2120696
12	5534	2122984
13	5957	2121670
14	6378	2119695
15	6779	2111777
16	7255	2126584
17	7749	2145027
18	8214	2153483
19	8738	2175774
20	9123	2163196
21	9633	2179741
22	10113	2188475
23	10629	2203915
24	11121	2213132
25	11692	2236857
26	12145	2237079
27	12611	2239407
28	13061	2238930
29	13543	2243674
30	14010	2245818
31	14493	2250154
32	15109	2274206
33	15499	2263801
34	16055	2277541
35	16508	2276324
36	16934	2271574
37	17352	2265922
38	17781	2261902
39	18369	2277818
40	18841	2278935
41	19218	2268653
42	19739	2275594
43	20130	2267467
44	20672	2276253
45	21136	2276342
46	21588	2275024
47	21963	2265935
48	22423	2265672
49	22902	2267323
50	23413	2272011
51	23886	2272870
52	24404	2277931
53	24769	2268744
54	25155	2261723
55	25622	2262137
56	26095	2263018
57	26642	2270150
58	27082	2268075
59	27556	2268855
60	28079	2273548
61	28513	2271001
62	29079	2278815
63	29605	2283305
64	30194	2292456
65	30617	2288864
66	31073	2287842
67	31510	2285459
68	31964	2284331
69	32382	2280647
70	32878	2282538
71	33326	2281013
72	33790	2280638
73	34227	2278420
74	34680	2277332
75	35141	2276801
76	35693	2282077
77	36217	2285438
78	36843	2295048
79	37458	2303675
80	37927	2303296
81	38312	2297843
82	38776	2297144
83	39280	2298859
84	39751	2298582
85	40226	2298503
86	40739	2300590
87	41222	2300974
88	41692	2300581
89	42274	2306296
90	42700	2303501
91	43216	2305529
92	43698	2305678
93	44120	2302695
94	44688	2307332
95	45156	2306761
96	45613	2305613
97	46039	2302906
98	46548	2304399
99	47055	2305740
100	47596	2308687
101	48075	2308586
102	48578	2309586
103	49076	2310358
104	49621	2313305
105	50261	2320585
106	50769	2321632
107	51171	2317881
108	51645	2317399
109	52145	2318088
110	52638	2318487
111	53386	2329927
112	53850	2328903
113	54272	2326091
114	54711	2324038
115	55186	2323558
116	55727	2325769
117	56120	2321864
118	56502	2317538
119	56908	2314272
120	57346	2312344
121	57785	2310492
122	58221	2308502
123	58665	2306867
