iter	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9
0	2.187404645	0.2836844542	0.2643695685	0.05616474993	0.2384615385	0.4421247357	0.3381519602	0.2765556254	0.3834576957	0.2179222839	0.2514199167	0.2104882459
1	2.112526865	0.3048964	0.2505043712	0.07459942212	0.2385102065	0.4564231738	0.3658536585	0.2950898782	0.4042717447	0.2371134021	0.3249374479	0.235812478
2	2.054351533	0.3208704711	0.2572909916	0.1017733231	0.2671017949	0.4761787819	0.3719941841	0.3054187192	0.4058234759	0.2781766572	0.3354714561	0.2517200873
3	2.008465461	0.3304780646	0.2554265522	0.1101434426	0.2716080721	0.4875475402	0.3760988094	0.3314313464	0.4093173556	0.2903439153	0.363014763	0.2517620062
4	1.833306365	0.425078134	0.3371212121	0.35375362	0.3996996621	0.5834520264	0.449278681	0.4482799385	0.4539712404	0.4106476221	0.3985819975	0.3303540736
5	1.771316352	0.4297661766	0.3399264835	0.35667107	0.4049005337	0.5886743887	0.4545994065	0.4479142391	0.4591780822	0.415693904	0.4038402926	0.3424044092
6	1.726651117	0.4323127677	0.3418168964	0.3585113411	0.4058487874	0.5860843068	0.4572396274	0.4472593275	0.46021093	0.4326229771	0.4029643353	0.3451812555
7	1.693257225	0.4326310916	0.3442304294	0.3638737758	0.4034446148	0.5869040051	0.4599975571	0.4454857143	0.4610113745	0.4300352225	0.4038581207	0.3448644793
8	1.670328099	0.4352066211	0.3498468744	0.3672672021	0.4023206251	0.5863250032	0.4623655914	0.4445202365	0.4624608257	0.4372107867	0.411462389	0.3478106088
9	1.632479854	0.4506887371	0.3850345078	0.4109647259	0.4029570523	0.5858232279	0.4763089168	0.4444697315	0.4832428136	0.4386845942	0.4458536585	0.3768932723
10	1.597761143	0.4604699618	0.4034675817	0.428898605	0.4158043274	0.5872319077	0.4912100603	0.4441441441	0.4984268485	0.4431195617	0.4498591082	0.3951346655
11	1.573111677	0.4661997916	0.4102099928	0.4337851929	0.4190841525	0.5902094373	0.5	0.4486991778	0.51010562	0.448	0.4536944166	0.4005524862
12	1.551786175	0.4705116333	0.4144274121	0.4376950281	0.4276683686	0.5898477157	0.5088623507	0.450838242	0.5168745896	0.4490934449	0.4582291146	0.4030313469
13	1.539297834	0.4722190068	0.4150197628	0.4369434666	0.4291358025	0.5918860486	0.5091364205	0.450489415	0.5170962651	0.4546568627	0.4612822648	0.4091765109
14	1.527147853	0.4745340896	0.4178943586	0.4385711336	0.4308484551	0.5934430412	0.5149338374	0.4528431149	0.5194085028	0.4578681756	0.4637103471	0.4094541745
15	1.520798008	0.4776883899	0.4202820925	0.4410193177	0.4410816175	0.5966836735	0.5150257764	0.4575611988	0.5188405797	0.4588957055	0.4648166501	0.4146838885
16	1.510409944	0.4785854844	0.4218362283	0.4413764682	0.4414606601	0.5972133453	0.517017017	0.4592677346	0.5191321499	0.4581996026	0.4656450816	0.4162695711
17	1.503388332	0.4802349809	0.4271600503	0.4428923583	0.4413965087	0.5960163432	0.5166811361	0.4626745125	0.5205301455	0.4605382522	0.4651629073	0.42
18	1.493888925	0.4826368793	0.4276481149	0.4480294058	0.4452792387	0.598334401	0.5197726149	0.4619990788	0.5239567233	0.4605123541	0.471339721	0.4205963939
19	1.490470415	0.4857911795	0.4291324527	0.4514285714	0.4509018036	0.6006931074	0.5212792128	0.464894975	0.5258131131	0.4661927091	0.474911898	0.4242634315
20	1.482915669	0.486196319	0.4308406211	0.4507676561	0.4512485883	0.6009738596	0.519575558	0.4646770809	0.5264243362	0.4651515152	0.4757459577	0.4278467728
