iter	F1:class=0_TP	F1:class=0_TP+FP	F1:class=0_TP+FN	F1:class=1_TP	F1:class=1_TP+FP	F1:class=1_TP+FN	F1:class=2_TP	F1:class=2_TP+FP	F1:class=2_TP+FN	F1:class=3_TP	F1:class=3_TP+FP	F1:class=3_TP+FN	F1:class=4_TP	F1:class=4_TP+FP	F1:class=4_TP+FN	F1:class=5_TP	F1:class=5_TP+FP	F1:class=5_TP+FN	F1:class=6_TP	F1:class=6_TP+FP	F1:class=6_TP+FN	F1:class=7_TP	F1:class=7_TP+FP	F1:class=7_TP+FN	F1:class=8_TP	F1:class=8_TP+FP	F1:class=8_TP+FN	F1:class=9_TP	F1:class=9_TP+FP	F1:class=9_TP+FN
35	20	106	2601	21	38	1901	1533	6241	2858	1105	1837	1373	737	2435	2120	1752	6096	2563	0	0	1145	18	44	1239	1449	3596	2428	0	0	2165
36	24	120	2601	20	37	1901	1538	6247	2858	1109	1835	1373	738	2431	2120	1758	6071	2563	0	0	1145	20	42	1239	1458	3610	2428	0	0	2165
37	29	126	2601	27	49	1901	1547	6237	2858	1109	1836	1373	738	2435	2120	1760	6056	2563	0	0	1145	22	47	1239	1459	3607	2428	0	0	2165
38	32	131	2601	34	56	1901	1537	6130	2858	1110	1835	1373	738	2437	2120	1796	6147	2563	0	0	1145	26	52	1239	1458	3605	2428	0	0	2165
39	28	126	2601	31	54	1901	1520	6094	2858	1110	1836	1373	737	2434	2120	1809	6185	2563	0	0	1145	26	56	1239	1456	3608	2428	0	0	2165
40	32	144	2601	31	62	1901	1510	6002	2858	1107	1828	1373	736	2424	2120	1834	6253	2563	0	0	1145	30	62	1239	1462	3617	2428	1	1	2165
41	33	147	2601	33	65	1901	1506	5976	2858	1112	1836	1373	735	2428	2120	1852	6260	2563	0	0	1145	29	65	1239	1466	3614	2428	1	2	2165
42	38	164	2601	35	73	1901	1501	5932	2858	1114	1842	1373	734	2429	2120	1869	6278	2563	0	0	1145	27	63	1239	1469	3610	2428	1	2	2165
43	44	175	2601	37	76	1901	1516	5942	2858	1119	1845	1373	734	2426	2120	1864	6241	2563	0	0	1145	28	62	1239	1472	3624	2428	1	2	2165
44	48	176	2601	35	73	1901	1513	5959	2858	1123	1852	1373	734	2428	2120	1872	6214	2563	0	0	1145	30	67	1239	1478	3622	2428	1	2	2165
45	53	194	2601	36	76	1901	1529	5943	2858	1124	1849	1373	734	2426	2120	1886	6203	2563	0	0	1145	31	65	1239	1487	3635	2428	1	2	2165
46	54	199	2601	42	86	1901	1517	5940	2858	1124	1843	1373	734	2430	2120	1884	6187	2563	0	0	1145	32	70	1239	1487	3636	2428	1	2	2165
47	60	201	2601	48	92	1901	1515	5964	2858	1125	1840	1373	737	2434	2120	1880	6155	2563	0	0	1145	33	70	1239	1491	3635	2428	1	2	2165
48	62	211	2601	50	98	1901	1518	5968	2858	1125	1838	1373	736	2430	2120	1877	6137	2563	0	0	1145	32	70	1239	1496	3639	2428	1	2	2165
49	65	234	2601	46	96	1901	1524	5986	2858	1123	1838	1373	736	2427	2120	1870	6088	2563	0	0	1145	32	68	1239	1504	3654	2428	1	2	2165
50	68	246	2601	53	108	1901	1527	6016	2858	1124	1839	1373	736	2426	2120	1852	6025	2563	0	0	1145	33	69	1239	1513	3663	2428	1	1	2165
51	69	262	2601	57	115	1901	1533	6040	2858	1124	1833	1373	735	2418	2120	1839	5996	2563	0	0	1145	34	75	1239	1511	3652	2428	1	2	2165
52	76	277	2601	63	125	1901	1527	5988	2858	1125	1835	1373	736	2414	2120	1850	6021	2563	0	0	1145	35	78	1239	1516	3654	2428	1	1	2165
53	75	283	2601	68	134	1901	1522	5964	2858	1124	1835	1373	738	2414	2120	1854	6028	2563	0	0	1145	36	79	1239	1517	3655	2428	1	1	2165
54	80	306	2601	69	136	1901	1514	5930	2858	1127	1838	1373	737	2414	2120	1859	6027	2563	0	0	1145	36	81	1239	1525	3659	2428	1	2	2165
55	87	334	2601	74	146	1901	1504	5882	2858	1127	1837	1373	739	2413	2120	1860	6045	2563	0	0	1145	37	85	1239	1523	3650	2428	1	1	2165
56	85	347	2601	79	157	1901	1497	5876	2858	1125	1832	1373	739	2417	2120	1858	6022	2563	0	0	1145	37	87	1239	1524	3654	2428	1	1	2165
57	91	365	2601	86	169	1901	1498	5838	2858	1127	1839	1373	742	2431	2120	1857	6022	2563	0	0	1145	37	90	1239	1524	3638	2428	1	1	2165
58	93	367	2601	100	200	1901	1490	5771	2858	1130	1840	1373	743	2439	2120	1872	6047	2563	0	0	1145	39	92	1239	1528	3636	2428	1	1	2165
59	94	365	2601	101	199	1901	1487	5778	2858	1129	1837	1373	744	2446	2120	1875	6032	2563	0	0	1145	39	92	1239	1530	3643	2428	1	1	2165
60	105	363	2601	107	220	1901	1490	5816	2858	1128	1832	1373	745	2444	2120	1872	5985	2563	0	0	1145	39	95	1239	1526	3637	2428	1	1	2165
61	104	374	2601	107	220	1901	1499	5838	2858	1126	1829	1373	746	2451	2120	1867	5950	2563	0	0	1145	39	94	1239	1531	3636	2428	1	1	2165
62	112	386	2601	112	228	1901	1492	5786	2858	1125	1828	1373	748	2459	2120	1873	5977	2563	0	0	1145	41	102	1239	1538	3627	2428	0	0	2165
63	111	377	2601	112	233	1901	1483	5757	2858	1126	1825	1373	749	2460	2120	1884	6011	2563	0	0	1145	42	102	1239	1539	3627	2428	1	1	2165
64	110	379	2601	112	235	1901	1483	5767	2858	1127	1820	1373	753	2473	2120	1882	5982	2563	0	0	1145	44	106	1239	1541	3630	2428	1	1	2165
65	111	387	2601	123	254	1901	1480	5738	2858	1124	1810	1373	753	2478	2120	1880	5985	2563	0	0	1145	45	112	1239	1542	3629	2428	0	0	2165
66	118	408	2601	120	248	1901	1468	5696	2858	1126	1808	1373	756	2487	2120	1884	5990	2563	0	0	1145	48	116	1239	1546	3640	2428	0	0	2165
67	119	397	2601	123	253	1901	1480	5740	2858	1124	1809	1373	756	2491	2120	1871	5950	2563	0	0	1145	46	117	1239	1547	3636	2428	0	0	2165
68	124	412	2601	125	264	1901	1480	5711	2858	1127	1808	1373	755	2495	2120	1880	5946	2563	0	0	1145	50	121	1239	1551	3636	2428	0	0	2165
69	131	437	2601	127	273	1901	1485	5678	2858	1131	1815	1373	755	2494	2120	1890	5937	2563	0	0	1145	52	124	1239	1551	3633	2428	1	2	2165
70	136	446	2601	125	267	1901	1486	5662	2858	1131	1815	1373	756	2495	2120	1885	5927	2563	0	0	1145	56	139	1239	1552	3640	2428	1	2	2165
71	140	452	2601	126	266	1901	1488	5630	2858	1134	1818	1373	756	2503	2120	1887	5935	2563	0	0	1145	54	139	1239	1555	3648	2428	1	2	2165
72	143	456	2601	130	272	1901	1489	5645	2858	1133	1813	1373	758	2517	2120	1880	5900	2563	0	0	1145	54	139	1239	1556	3649	2428	1	2	2165
73	157	485	2601	135	276	1901	1490	5647	2858	1135	1811	1373	760	2509	2120	1875	5866	2563	0	0	1145	56	145	1239	1560	3649	2428	3	5	2165
74	165	505	2601	137	290	1901	1489	5619	2858	1135	1810	1373	759	2513	2120	1876	5850	2563	0	0	1145	59	147	1239	1563	3650	2428	3	9	2165
75	158	501	2601	139	295	1901	1481	5586	2858	1134	1807	1373	761	2527	2120	1880	5886	2563	0	0	1145	59	149	1239	1563	3635	2428	3	7	2165
76	170	526	2601	143	306	1901	1479	5574	2858	1135	1812	1373	760	2511	2120	1885	5870	2563	0	0	1145	62	153	1239	1563	3631	2428	3	10	2165
77	177	546	2601	146	318	1901	1478	5551	2858	1135	1805	1373	760	2513	2120	1884	5852	2563	0	0	1145	63	158	1239	1568	3642	2428	3	8	2165
78	182	564	2601	155	334	1901	1478	5547	2858	1134	1802	1373	763	2512	2120	1880	5828	2563	0	0	1145	62	156	1239	1571	3640	2428	4	10	2165
79	191	588	2601	161	342	1901	1477	5539	2858	1134	1801	1373	762	2508	2120	1877	5810	2563	0	0	1145	61	159	1239	1572	3634	2428	4	12	2165
80	191	592	2601	161	343	1901	1471	5507	2858	1134	1797	1373	764	2516	2120	1875	5820	2563	0	0	1145	63	164	1239	1576	3642	2428	4	12	2165
81	198	607	2601	164	351	1901	1471	5491	2858	1135	1797	1373	765	2521	2120	1871	5803	2563	0	0	1145	64	166	1239	1575	3645	2428	3	12	2165
82	197	605	2601	165	353	1901	1472	5507	2858	1135	1796	1373	766	2520	2120	1868	5781	2563	0	0	1145	64	165	1239	1585	3655	2428	3	11	2165
83	196	610	2601	169	362	1901	1468	5490	2858	1135	1791	1373	770	2531	2120	1870	5779	2563	0	0	1145	64	168	1239	1583	3651	2428	3	11	2165
84	198	608	2601	167	358	1901	1475	5503	2858	1134	1790	1373	768	2531	2120	1867	5761	2563	0	0	1145	62	167	1239	1586	3655	2428	7	20	2165
85	192	609	2601	171	366	1901	1471	5480	2858	1135	1791	1373	768	2534	2120	1872	5774	2563	0	0	1145	62	167	1239	1587	3652	2428	7	20	2165
86	197	619	2601	172	367	1901	1474	5465	2858	1134	1788	1373	768	2539	2120	1871	5769	2563	0	0	1145	64	167	1239	1591	3656	2428	8	23	2165
87	205	650	2601	174	379	1901	1476	5451	2858	1133	1783	1373	769	2535	2120	1873	5749	2563	0	0	1145	64	168	1239	1591	3649	2428	11	29	2165
88	208	656	2601	173	376	1901	1477	5438	2858	1132	1778	1373	772	2551	2120	1878	5748	2563	0	0	1145	65	169	1239	1592	3646	2428	13	31	2165
89	208	661	2601	175	377	1901	1473	5422	2858	1131	1777	1373	774	2550	2120	1880	5755	2563	0	0	1145	62	169	1239	1595	3651	2428	13	31	2165
90	219	684	2601	175	380	1901	1469	5403	2858	1133	1782	1373	772	2547	2120	1877	5739	2563	0	0	1145	62	170	1239	1595	3656	2428	13	32	2165
91	226	714	2601	178	392	1901	1465	5375	2858	1132	1776	1373	775	2547	2120	1880	5714	2563	0	0	1145	62	171	1239	1600	3652	2428	23	52	2165
92	237	735	2601	178	390	1901	1468	5365	2858	1131	1772	1373	777	2554	2120	1875	5695	2563	0	0	1145	63	170	1239	1604	3657	2428	24	55	2165
93	236	737	2601	179	389	1901	1462	5340	2858	1131	1768	1373	775	2560	2120	1876	5716	2563	0	0	1145	65	174	1239	1605	3655	2428	24	54	2165
94	232	726	2601	185	407	1901	1462	5349	2858	1131	1769	1373	775	2554	2120	1875	5703	2563	0	0	1145	65	172	1239	1606	3654	2428	26	59	2165
95	238	730	2601	184	415	1901	1454	5334	2858	1132	1773	1373	776	2560	2120	1872	5690	2563	0	0	1145	65	174	1239	1608	3656	2428	26	61	2165
96	238	736	2601	184	420	1901	1454	5297	2858	1133	1780	1373	777	2557	2120	1883	5708	2563	0	0	1145	66	177	1239	1607	3653	2428	26	65	2165
97	244	746	2601	183	418	1901	1448	5274	2858	1132	1778	1373	782	2570	2120	1883	5707	2563	0	0	1145	66	179	1239	1609	3656	2428	26	65	2165
98	247	753	2601	184	425	1901	1454	5267	2858	1132	1770	1373	781	2569	2120	1882	5698	2563	0	0	1145	67	183	1239	1610	3663	2428	25	65	2165
99	247	769	2601	188	433	1901	1452	5237	2858	1133	1771	1373	780	2576	2120	1879	5684	2563	0	0	1145	68	189	1239	1614	3663	2428	28	71	2165
100	247	759	2601	190	435	1901	1457	5226	2858	1132	1767	1373	781	2593	2120	1883	5667	2563	0	0	1145	68	188	1239	1616	3673	2428	32	85	2165
101	251	764	2601	195	441	1901	1451	5197	2858	1132	1762	1373	781	2588	2120	1885	5674	2563	0	0	1145	73	196	1239	1613	3658	2428	41	113	2165
102	251	769	2601	194	441	1901	1444	5162	2858	1132	1762	1373	783	2590	2120	1879	5660	2563	0	0	1145	73	196	1239	1616	3671	2428	52	142	2165
103	259	795	2601	196	451	1901	1441	5146	2858	1132	1762	1373	784	2599	2120	1885	5644	2563	0	0	1145	73	196	1239	1614	3658	2428	52	142	2165
104	260	801	2601	193	446	1901	1437	5138	2858	1133	1764	1373	787	2603	2120	1888	5640	2563	0	0	1145	73	200	1239	1616	3661	2428	51	140	2165
105	265	835	2601	195	448	1901	1429	5117	2858	1133	1761	1373	789	2617	2120	1888	5632	2563	0	0	1145	71	198	1239	1619	3657	2428	41	128	2165
106	270	863	2601	190	432	1901	1422	5066	2858	1134	1759	1373	795	2620	2120	1893	5639	2563	0	0	1145	71	203	1239	1620	3658	2428	48	153	2165
107	271	862	2601	190	436	1901	1415	5066	2858	1132	1758	1373	794	2621	2120	1890	5630	2563	0	0	1145	70	202	1239	1623	3662	2428	50	156	2165
108	267	855	2601	187	430	1901	1404	5036	2858	1133	1756	1373	793	2630	2120	1888	5631	2563	0	0	1145	71	203	1239	1623	3672	2428	50	180	2165
109	268	857	2601	190	441	1901	1400	5014	2858	1133	1756	1373	796	2637	2120	1885	5619	2563	0	0	1145	72	206	1239	1626	3677	2428	51	186	2165
110	255	859	2601	189	439	1901	1387	4954	2858	1133	1757	1373	788	2612	2120	1889	5609	2563	0	0	1145	72	207	1239	1622	3705	2428	47	251	2165
111	245	908	2601	179	420	1901	1373	4860	2858	1132	1758	1373	779	2582	2120	1896	5571	2563	0	0	1145	73	207	1239	1624	3729	2428	41	358	2165
112	228	941	2601	178	410	1901	1336	4681	2858	1131	1759	1373	770	2530	2120	1894	5507	2563	0	0	1145	70	217	1239	1623	3756	2428	55	592	2165
113	233	948	2601	178	419	1901	1338	4672	2858	1131	1758	1373	768	2523	2120	1895	5489	2563	0	0	1145	70	215	1239	1623	3758	2428	57	611	2165
114	234	954	2601	182	419	1901	1334	4674	2858	1132	1753	1373	769	2523	2120	1895	5487	2563	0	0	1145	70	218	1239	1626	3765	2428	55	600	2165
115	215	1007	2601	182	403	1901	1324	4562	2858	1131	1752	1373	770	2506	2120	1879	5402	2563	0	0	1145	71	221	1239	1630	3788	2428	58	752	2165
116	206	986	2601	175	396	1901	1282	4455	2858	1130	1751	1373	770	2486	2120	1880	5385	2563	0	0	1145	73	225	1239	1630	3792	2428	60	917	2165
117	220	1066	2601	170	393	1901	1250	4360	2858	1129	1750	1373	762	2467	2120	1882	5335	2563	0	0	1145	72	224	1239	1635	3797	2428	51	1001	2165
118	216	1067	2601	173	401	1901	1248	4353	2858	1129	1745	1373	762	2464	2120	1881	5328	2563	0	0	1145	72	223	1239	1635	3798	2428	52	1014	2165
119	218	1134	2601	178	408	1901	1241	4321	2858	1129	1742	1373	762	2466	2120	1868	5282	2563	0	0	1145	74	227	1239	1635	3800	2428	45	1013	2165
120	211	1133	2601	178	413	1901	1222	4266	2858	1127	1740	1373	765	2457	2120	1868	5260	2563	0	0	1145	75	233	1239	1634	3797	2428	45	1094	2165
121	214	1128	2601	184	415	1901	1226	4264	2858	1129	1742	1373	760	2466	2120	1868	5252	2563	0	0	1145	75	231	1239	1632	3796	2428	54	1099	2165
122	216	1215	2601	180	412	1901	1189	4141	2858	1129	1738	1373	756	2441	2120	1864	5201	2563	0	0	1145	75	240	1239	1628	3794	2428	40	1211	2165
123	206	1209	2601	176	408	1901	1157	4019	2858	1128	1734	1373	744	2408	2120	1861	5147	2563	0	0	1145	76	240	1239	1625	3812	2428	44	1416	2165
124	200	1225	2601	178	407	1901	1165	4039	2858	1128	1734	1373	744	2400	2120	1860	5121	2563	0	1	1145	76	240	1239	1624	3805	2428	46	1421	2165
125	192	1220	2601	173	399	1901	1117	3929	2858	1127	1732	1373	739	2382	2120	1856	5067	2563	0	1	1145	77	243	1239	1623	3820	2428	45	1600	2165
126	192	1270	2601	170	390	1901	1062	3745	2858	1126	1729	1373	730	2343	2120	1861	5005	2563	0	7	1145	78	251	1239	1611	3815	2428	35	1838	2165
127	194	1273	2601	176	401	1901	1066	3751	2858	1127	1729	1373	730	2341	2120	1858	4996	2563	0	8	1145	77	250	1239	1609	3816	2428	36	1828	2165
128	196	1274	2601	176	403	1901	1059	3728	2858	1127	1729	1373	730	2344	2120	1857	4987	2563	0	8	1145	77	251	1239	1609	3815	2428	41	1854	2165
129	197	1299	2601	181	417	1901	1075	3757	2858	1128	1725	1373	728	2332	2120	1851	4963	2563	0	8	1145	77	248	1239	1609	3813	2428	34	1831	2165
130	195	1298	2601	185	420	1901	1068	3737	2858	1129	1724	1373	729	2337	2120	1848	4959	2563	0	8	1145	78	253	1239	1610	3818	2428	36	1839	2165
131	195	1369	2601	175	402	1901	1022	3560	2858	1129	1724	1373	720	2310	2120	1836	4861	2563	5	43	1145	78	262	1239	1576	3794	2428	30	2068	2165
132	188	1382	2601	169	385	1901	967	3371	2858	1129	1725	1373	703	2263	2120	1826	4787	2563	3	75	1145	78	268	1239	1539	3787	2428	32	2350	2165
133	183	1437	2601	160	367	1901	915	3203	2858	1129	1724	1373	693	2229	2120	1824	4707	2563	12	214	1145	78	267	1239	1407	3642	2428	35	2603	2165
134	183	1434	2601	162	371	1901	915	3202	2858	1129	1724	1373	696	2230	2120	1822	4702	2563	12	215	1145	78	267	1239	1409	3652	2428	36	2596	2165
135	178	1427	2601	160	360	1901	897	3137	2858	1129	1724	1373	691	2218	2120	1818	4679	2563	12	236	1145	77	270	1239	1390	3628	2428	43	2714	2165
136	179	1431	2601	159	359	1901	891	3123	2858	1128	1723	1373	693	2229	2120	1821	4677	2563	12	245	1145	77	270	1239	1383	3620	2428	41	2716	2165
137	178	1428	2601	161	361	1901	896	3131	2858	1129	1721	1373	694	2227	2120	1823	4672	2563	12	249	1145	79	270	1239	1382	3618	2428	42	2716	2165
138	178	1434	2601	161	365	1901	895	3114	2858	1129	1722	1373	695	2235	2120	1819	4662	2563	13	253	1145	79	271	1239	1383	3620	2428	42	2717	2165
139	178	1471	2601	163	365	1901	892	3086	2858	1129	1720	1373	697	2233	2120	1822	4651	2563	15	369	1145	80	268	1239	1271	3506	2428	43	2724	2165
140	180	1521	2601	162	367	1901	880	3053	2858	1129	1720	1373	692	2211	2120	1808	4626	2563	15	400	1145	82	272	1239	1242	3480	2428	43	2743	2165
141	180	1515	2601	166	374	1901	882	3053	2858	1128	1715	1373	692	2205	2120	1813	4616	2563	16	405	1145	83	278	1239	1238	3474	2428	44	2758	2165
142	181	1550	2601	166	371	1901	888	3013	2858	1128	1712	1373	686	2186	2120	1830	4631	2563	17	418	1145	84	278	1239	1223	3466	2428	47	2768	2165
143	180	1548	2601	166	368	1901	889	3006	2858	1128	1712	1373	684	2181	2120	1835	4636	2563	17	421	1145	85	279	1239	1221	3470	2428	46	2772	2165
144	179	1560	2601	171	379	1901	871	2907	2858	1128	1712	1373	682	2169	2120	1866	4662	2563	17	426	1145	86	280	1239	1216	3463	2428	46	2835	2165
145	172	1545	2601	168	372	1901	848	2859	2858	1128	1712	1373	682	2161	2120	1873	4685	2563	17	428	1145	86	280	1239	1216	3470	2428	45	2881	2165
