iter	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9
0	2.212388287	0.249537037	0.07880567792	0.1060272767	0.2333266972	0.2942113648	0.3492755481	0.2537504361	0.379287857	0.2182320442	0.2937321459	0.04985415009
1	2.147062925	0.2694155093	0.1120285651	0.07932152657	0.2056970693	0.3427794625	0.3645407317	0.2721879725	0.3872635733	0.2273125182	0.3260730301	0.1663729292
2	2.099058527	0.2768518519	0.08985024958	0.08390194592	0.2214889124	0.3520647084	0.3815641199	0.28608	0.3867542266	0.2362450369	0.3418963101	0.1454046639
3	2.044666994	0.3046585648	0.2196122297	0.08664445014	0.2436733629	0.4500766238	0.3879644404	0.2944853762	0.3952858304	0.2506228932	0.3431786217	0.1843575419
4	1.995986128	0.3256076389	0.2392221611	0.1102164066	0.2592542738	0.4810642378	0.4017877095	0.3185999551	0.4067245119	0.2843940975	0.3473354232	0.2259967817
5	1.848444007	0.4174768519	0.3454049136	0.3534635879	0.4004320238	0.5652395515	0.4273232724	0.4072858921	0.460658862	0.4083958021	0.3873035251	0.3457927369
6	1.77018764	0.4307002315	0.3526596724	0.3519503546	0.4053766303	0.5757075771	0.4633645286	0.4390899922	0.4635669674	0.4101644245	0.3992712919	0.3547640249
7	1.720383087	0.4342592593	0.3486511628	0.3530192435	0.4037716352	0.5781929869	0.4664031621	0.4392896781	0.4653312789	0.4228208232	0.4211464211	0.3551569507
8	1.689305951	0.4354166667	0.3506080449	0.3553210202	0.4032704403	0.58	0.468549727	0.4402571492	0.4599915026	0.4330458466	0.4241445146	0.3527927928
9	1.664824872	0.4384837963	0.3533134773	0.3590759076	0.4028848545	0.5797729881	0.470700107	0.440832684	0.4654483152	0.4387849033	0.4365971108	0.3532167958
10	1.612580278	0.4608506944	0.3961743609	0.4220806794	0.4098460046	0.5787601626	0.4979315532	0.4394946809	0.4950895436	0.4427059365	0.4803312629	0.4029745042
11	1.58137202	0.4655092593	0.4103498542	0.4315633594	0.4177809902	0.5786673423	0.5014055712	0.4395628657	0.4993475424	0.4430457476	0.4870081663	0.4106356753
12	1.558441946	0.4704571759	0.4172583288	0.4369359916	0.4236918605	0.580873076	0.5091420534	0.4419250861	0.502767259	0.4475911959	0.4942290619	0.4152586657
13	1.53922994	0.472337963	0.417726117	0.4375917768	0.423580786	0.5825462788	0.5127020785	0.4413395431	0.5094835133	0.4499616858	0.4960734924	0.4180356519
14	1.525576263	0.4737847222	0.4206163273	0.4355611076	0.4265298644	0.5837946653	0.5124136166	0.4432238538	0.5120279924	0.4481905351	0.5001479728	0.4199484093
15	1.515592763	0.4761284722	0.4237288136	0.4364167885	0.4286405418	0.5892631046	0.5143729331	0.4468781755	0.5122646891	0.4542936288	0.4966221288	0.4220631873
16	1.504410787	0.4837384259	0.4268379729	0.442135882	0.4380487805	0.6008440977	0.5172932331	0.4603738961	0.517877412	0.4661630954	0.4982057416	0.4300590073
17	1.495456208	0.4853587963	0.4266337855	0.4460372722	0.436809518	0.6019913199	0.5214374226	0.4628390278	0.5161657883	0.4671713271	0.5000746826	0.435497987
18	1.486559645	0.4864293981	0.4296270232	0.4457658397	0.437492392	0.6018151604	0.521468575	0.4642438453	0.5186450327	0.4701884461	0.5014889815	0.4351916376
19	1.481983789	0.4875868056	0.4312970418	0.4478038815	0.4406200415	0.6051584756	0.5213270142	0.4633830963	0.5184659091	0.4724458204	0.5014845606	0.436773634
20	1.47672244	0.4904513889	0.4332985023	0.4547479247	0.4435721295	0.609903537	0.5226593625	0.468528159	0.5180346492	0.4771777812	0.5018537743	0.4384083045
21	1.474381854	0.4911458333	0.4334085779	0.4541414141	0.4437840515	0.6093245512	0.5251494024	0.4699479413	0.5183297948	0.4789723199	0.5043167609	0.4372623574
22	1.467593941	0.4941261574	0.4344970619	0.4541961577	0.4491714074	0.6104771784	0.5248209434	0.4770292787	0.5214437367	0.4820607176	0.5080071174	0.4413194444
23	1.460574373	0.496412037	0.4358178054	0.4578702768	0.4486879389	0.6151648922	0.5271184356	0.4782972617	0.5237494746	0.4857451071	0.5093520874	0.4449852251
24	1.453981711	0.4983506944	0.4401249566	0.4595247684	0.4513734224	0.6187256177	0.5288663617	0.4784837287	0.5226952354	0.4872460669	0.5114549241	0.4488665859
25	1.443418667	0.5048900463	0.4437543133	0.4671620807	0.4610972569	0.6246425786	0.5327424914	0.484375	0.5313549832	0.4926515615	0.5168305034	0.4578230119
26	1.434393889	0.5109953704	0.4514912581	0.4743256743	0.4679623824	0.6272727273	0.5414868697	0.4925373134	0.5344730942	0.5035548686	0.5198931116	0.4605645851
27	1.427788869	0.5137731481	0.4561643836	0.4764188649	0.4741748551	0.6283643892	0.5429028684	0.4970356927	0.5391401764	0.5032397408	0.5189478377	0.463713799
28	1.424408344	0.5152777778	0.4565663475	0.480349345	0.4765871513	0.6299519418	0.544108575	0.4996360107	0.5395984384	0.5061652281	0.521003414	0.4614860259
29	1.418759003	0.5179398148	0.4602767811	0.4835597559	0.4790419162	0.631292164	0.5461045365	0.5021224985	0.541684181	0.5101377496	0.5237601776	0.4651241344
30	1.415482747	0.5188078704	0.4616433686	0.4850628931	0.4810803924	0.6322330097	0.5466007417	0.5032289509	0.5429292929	0.5101127065	0.5228816061	0.4658553076
31	1.40748473	0.5211805556	0.4637631848	0.4919639357	0.4811163743	0.6321660182	0.5472160903	0.5040352164	0.5454035874	0.5104537711	0.5295154185	0.4721278042
32	1.402084939	0.5244791667	0.4658046955	0.492578125	0.4872122762	0.6331177232	0.5529570222	0.5051219512	0.5470496675	0.5146600125	0.5351248722	0.4762714747
33	1.39205916	0.5317708333	0.4707271807	0.4990253411	0.493795243	0.6412944984	0.556698506	0.515946312	0.5534254299	0.5236465464	0.5404459991	0.4881995954
34	1.383518227	0.5372395833	0.4779449045	0.5053242982	0.5001290989	0.64450792	0.5591160221	0.5222427603	0.5627717772	0.5284187703	0.5463585844	0.4920419912
35	1.377170567	0.5402777778	0.4801212938	0.5111969112	0.5046583851	0.6494618078	0.5575742696	0.527654321	0.5631394534	0.5357420962	0.545773618	0.4948523207
36	1.371874336	0.5414351852	0.4822718871	0.5130769231	0.5052440761	0.6496501684	0.5593888615	0.5285873744	0.5632893629	0.5375776398	0.54835406	0.4949562878
37	1.369739896	0.5421875	0.4825620389	0.514099367	0.5045419154	0.6510964059	0.5614294516	0.5280257937	0.5641385111	0.5401369011	0.5495020504	0.4948004025
38	1.362987585	0.5459490741	0.4856187291	0.5191538022	0.5116883117	0.6554905783	0.564165844	0.5337652629	0.5664756046	0.5407176287	0.5507629108	0.5002504592
39	1.356736712	0.5493923611	0.4895711664	0.5253403933	0.5174388339	0.6595689431	0.5659679408	0.539099824	0.5662852358	0.54692607	0.5519765739	0.5003351206
40	1.353257013	0.5517071759	0.4917650973	0.527306968	0.5196256823	0.661038961	0.5667487685	0.5438485804	0.567997766	0.5504758933	0.5529050198	0.5043653459
41	1.348832046	0.554369213	0.498669328	0.5284431138	0.5206946077	0.6625878677	0.5694923608	0.5456384324	0.5711888112	0.5534825871	0.556773345	0.5066979236
42	1.344128164	0.5567997685	0.5012456403	0.5320620677	0.5228571429	0.664235478	0.5717102021	0.546835443	0.5714285714	0.5573923893	0.5613983977	0.5100671141
43	1.34211678	0.5584201389	0.5026472535	0.532809871	0.5282673978	0.6650149954	0.5734334605	0.5466970387	0.5727502103	0.5569029851	0.5647539787	0.5118308441
44	1.334383644	0.5623263889	0.5064805583	0.5400969787	0.5313191822	0.6677091478	0.5784229302	0.554848562	0.5751964085	0.560523446	0.5632534495	0.5164209115
45	1.328302856	0.5662037037	0.509895227	0.5453870429	0.539184953	0.670661803	0.5798991266	0.5625	0.5766372178	0.5651766177	0.5637836274	0.5199733688
46	1.323599435	0.5693576389	0.5142097391	0.5501570294	0.5441446162	0.6721611722	0.5813838956	0.5646092647	0.5794706624	0.5683947533	0.568171981	0.5235010796
