iter	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9
0	2.207812186	0.2358812637	0.07317641575	0.07328015952	0.1559242402	0.2907016937	0.3405523089	0.2399338765	0.3984347207	0.2035147392	0.193359375	0.2076177684
1	2.130022627	0.2734637195	0.2490566038	0.05178857448	0.2115818501	0.4331007467	0.3550930997	0.2623762376	0.3992089651	0.2142546088	0.242981448	0.07968313141
2	2.073145683	0.2920958222	0.240168312	0.1022395326	0.2190812721	0.4586075511	0.3567398119	0.2746881194	0.4084859665	0.2084113741	0.2542857143	0.2059276366
3	2.031079349	0.3001967365	0.2389772168	0.08759867583	0.2523569676	0.4591909155	0.3561799026	0.2904602607	0.3935843794	0.2289527721	0.2951653944	0.231092437
4	1.829401747	0.4313736836	0.3825770123	0.4149904722	0.3985360929	0.5542017335	0.465736956	0.4206946806	0.4487549869	0.37617866	0.4231513168	0.3837150127
5	1.746245112	0.4447691239	0.3928749792	0.4223811527	0.4077497784	0.5648604269	0.4761676072	0.4244897959	0.4729748506	0.411218001	0.4412470024	0.3927359131
6	1.696350952	0.4477201713	0.3968613775	0.4221938776	0.4067205974	0.5630315158	0.483056069	0.4163729392	0.4907407407	0.4257538712	0.4392593708	0.3950701814
7	1.662387485	0.4498032635	0.3985964912	0.4237649063	0.4080069196	0.5650391353	0.483202829	0.4210765387	0.4949000978	0.4281224152	0.4380090498	0.400066291
8	1.636791399	0.4500925819	0.3973952834	0.423584504	0.4074028378	0.5687586817	0.4840425532	0.4194024764	0.4990866938	0.4277643261	0.4372064839	0.4021596859
9	1.614121283	0.4518574239	0.3993576017	0.4240614334	0.4087808508	0.5684871312	0.4870386924	0.421713773	0.5041287614	0.4291458903	0.4363580999	0.4038492905
10	1.592769087	0.4535933341	0.4022865309	0.4271388948	0.4067222827	0.5708165323	0.4879548949	0.4216746572	0.5001448855	0.4307842818	0.4564831261	0.4018445323
11	1.580243126	0.455560699	0.4025289779	0.4282083863	0.4093352884	0.5727226975	0.4894267516	0.4245885119	0.5052023121	0.4318479685	0.4563121199	0.4033808419
12	1.565833653	0.4570362227	0.4053238687	0.4297171802	0.41019358	0.5788679245	0.4901015228	0.4243772242	0.504001164	0.4351107465	0.457421644	0.4033780427
13	1.557464642	0.4576727231	0.4072027099	0.4289329397	0.4111549852	0.5797650625	0.4912280702	0.4233318604	0.5070738199	0.4378076797	0.4510886231	0.405575838
14	1.547690037	0.463169772	0.4121298103	0.4307951199	0.4210396345	0.5888789922	0.4962406015	0.4280508007	0.5081414935	0.4444808922	0.4557926829	0.4113403791
15	1.534710877	0.46424025	0.4137069427	0.4304118268	0.4246321256	0.5888028437	0.4988111626	0.4274859597	0.5083593086	0.4437601297	0.4565118741	0.4145393068
16	1.527720254	0.4687536165	0.4149406975	0.4332281809	0.4312202456	0.5916423219	0.504408295	0.4329506187	0.5135746606	0.4460570876	0.464	0.4173532874
17	1.520782133	0.4710102997	0.4197178068	0.4343264792	0.4334170854	0.5928371857	0.5067466267	0.4332001775	0.5151986427	0.4480281015	0.4704459562	0.419322375
18	1.511619666	0.4712128226	0.4239052405	0.4350758853	0.4316330367	0.5926302414	0.5065404261	0.4324204457	0.5164944075	0.4459351541	0.471354956	0.4210175146
19	1.503581769	0.4743953246	0.4240042865	0.438419504	0.4374528064	0.5974290442	0.511061397	0.4339875112	0.5172754195	0.4517158819	0.4707125604	0.4258453298
20	1.492359833	0.4815704201	0.427987924	0.4415692821	0.4457300968	0.6030407564	0.5141369048	0.4417923891	0.5264942772	0.4589171975	0.4841567803	0.4355406538
21	1.483912965	0.486893878	0.42783779	0.4494288681	0.4544539507	0.606672632	0.5182972367	0.4502174411	0.533165054	0.4632376144	0.4893425398	0.437917223
22	1.475826313	0.4888033792	0.432413179	0.4503832608	0.4551079682	0.607384694	0.5217819345	0.4491758242	0.5324675325	0.466540404	0.4919594997	0.4432850892
23	1.465624219	0.4940979053	0.4382399717	0.4531024531	0.466096284	0.6142985496	0.527324082	0.4543996334	0.5341545353	0.4724334601	0.4965702356	0.4450779809
24	1.458027064	0.4956312927	0.4402404526	0.4549938348	0.4652583355	0.61530573	0.5295055821	0.4560073513	0.5336904426	0.4731250991	0.4994072318	0.4504292207
25	1.452514538	0.4994502951	0.4458531432	0.4582397386	0.4662187857	0.6196712892	0.528580209	0.4597069597	0.5456332491	0.4774688399	0.5048543689	0.4513408669
26	1.444174495	0.5034139567	0.4493870403	0.4631920503	0.4709932424	0.621274409	0.5315182732	0.4637180373	0.5501343516	0.4810369659	0.5102101213	0.4567776657
27	1.439548423	0.5067700498	0.4522071602	0.4670418006	0.4747111682	0.6229003718	0.533888957	0.4700536006	0.5520833333	0.4856138107	0.5131851852	0.4592145015
28	1.436744382	0.5094317787	0.4560124935	0.4688189292	0.4779354839	0.6291875241	0.5343305542	0.47428705	0.5536264352	0.4864951255	0.5138023152	0.462257849
29	1.436740076	0.5094607106	0.4562012142	0.4686309882	0.4778623983	0.6291875241	0.5342818594	0.47428705	0.5536564864	0.4865814696	0.5140228521	0.4624373957
30	1.431506134	0.5123538942	0.4589823468	0.4691555201	0.481759379	0.632012352	0.5355874066	0.478995541	0.55865452	0.4883868915	0.5160716931	0.4657305249
31	1.426235809	0.5159993056	0.4597461311	0.4739655514	0.4921177089	0.6349903163	0.5385365854	0.4816470588	0.5613002662	0.4920785805	0.5179707144	0.4693843869
32	1.419257477	0.5188924893	0.4660695832	0.4744424709	0.4942245295	0.6375500711	0.5402102176	0.4859857482	0.5672686546	0.493111639	0.5218036191	0.46962889
33	1.412108652	0.5216120819	0.4642980338	0.4801727523	0.4992207792	0.6389247868	0.5417634829	0.4880143113	0.5688714865	0.4973945997	0.5250518826	0.4745254745
34	1.406479329	0.5252574933	0.4663937223	0.482569526	0.4992874725	0.6401554404	0.5444294644	0.4937854471	0.5742351951	0.5033070866	0.5356301531	0.4754453138
