iter	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9
0	2.208746685	0.2492331732	0.04715025907	0.06827309237	0.231275812	0.3012009088	0.3465187924	0.2625829942	0.3787278965	0.2180530045	0.2834964563	0.09797372523
1	2.1467689	0.2642803403	0.06141248721	0.05664830842	0.2390814948	0.3203893997	0.3667372383	0.275183787	0.3863847893	0.2163019347	0.3117958913	0.1414684592
2	2.082868662	0.3018693211	0.2176373927	0.06588235294	0.2525447752	0.4546225615	0.37332384	0.2946484785	0.4005340454	0.2436674437	0.3261215399	0.2017045455
3	2.032160146	0.3168007408	0.2240865026	0.07551127425	0.2688074582	0.4772699573	0.3855623282	0.3170811877	0.4057626223	0.2609114249	0.3299798793	0.2342975867
4	1.884452219	0.3957115574	0.3324587706	0.2902249135	0.3340034848	0.5565867492	0.4201839189	0.4213740458	0.4471816843	0.388653816	0.3438530382	0.3273986152
5	1.806451726	0.4115110828	0.3356433789	0.3279352227	0.391115523	0.5639958377	0.4268755935	0.4224989266	0.449263275	0.4095238095	0.3645017657	0.3402432757
6	1.758990729	0.4191504138	0.3347785108	0.3360433604	0.3972218838	0.5697236996	0.4349579035	0.4241515898	0.452073991	0.42304	0.3911719939	0.3458253443
7	1.719978113	0.421175994	0.3364768012	0.338517016	0.3978208232	0.5717255717	0.4448897796	0.4243326598	0.4538505096	0.4212548015	0.3919536727	0.3469351705
8	1.692761366	0.4245326697	0.3396442915	0.3394536498	0.3995609221	0.5798755187	0.454248366	0.4248386756	0.4538886528	0.4184799748	0.3983541603	0.3478103511
9	1.671993165	0.426124197	0.342703119	0.3401785714	0.3989744842	0.5798939061	0.4559199814	0.4267177196	0.4552016985	0.4176819744	0.4007263923	0.3539563062
10	1.632179262	0.4434284391	0.3842943854	0.4057659208	0.3992592593	0.5791855204	0.4751697035	0.4281612251	0.4905765741	0.417766734	0.4298747487	0.3681718864
11	1.597544278	0.4537588981	0.402173913	0.4231016043	0.4066135946	0.5800051533	0.4888558692	0.4282078473	0.5039765592	0.4233214452	0.4442036836	0.3964253798
12	1.575397325	0.4583598588	0.4107342527	0.4247825164	0.4188023807	0.581654907	0.4972389558	0.4274518111	0.5052010121	0.4250892719	0.45133292	0.402360515
13	1.563030682	0.4618901557	0.410923277	0.4282700422	0.4213973799	0.5885978428	0.4976900986	0.4307626758	0.5063220006	0.4307016167	0.4607524385	0.4042022792
14	1.548003681	0.4654783263	0.4182395814	0.4326822096	0.4226212288	0.5902912621	0.5001866368	0.4340904267	0.5135437029	0.4358616411	0.4636110251	0.4063959756
15	1.534142161	0.4678800857	0.4203655352	0.4351097179	0.4281001833	0.5939519256	0.5056320401	0.4337119202	0.5149548533	0.4378790235	0.4639364303	0.4081119885
16	1.524005553	0.470484403	0.4232132861	0.4373690825	0.4315160385	0.5955360599	0.5103656238	0.4352441614	0.5186955299	0.440483571	0.4640883978	0.4109834889
17	1.515866016	0.472770415	0.4227642276	0.439279732	0.4358347592	0.5987343407	0.5122165142	0.4412773253	0.5205016204	0.4394688079	0.4654778235	0.4118070554
